execution_variant,variant_priority,filter_group,filter_name,entry_feasible_filter,cost_bps,sample_view,n_trades,win_rate,median_return,average_return,p25_return,p75_return,worst_trade,best_trade,median_mae,median_mfe,expectancy,profit_factor,average_return_ex_top5,median_return_ex_top5,low_confidence_flag
immediate_1h_confirmation,priority,path_behavior,no_sustained_reclaim_above_entry,no,50,full_sample,68,0.8382352941176471,0.2344583274507037,0.2201515882204948,0.08174310971606102,0.4235714285714286,-0.17166666666666672,0.4235714285714288,0.0788243311778875,0.5674769559352517,0.2201515882204948,8.927788878549151,0.18912144308221673,0.2172222222222223,no
immediate_1h_confirmation,priority,path_behavior,no_sustained_reclaim_above_entry,no,100,full_sample,68,0.8382352941176471,0.2294583274507037,0.2151515882204948,0.07674310971606103,0.4185714285714286,-0.17666666666666672,0.4185714285714288,0.0788243311778875,0.5674769559352517,0.2151515882204948,8.528460376840643,0.18412144308221673,0.21222222222222228,no
immediate_1h_confirmation,priority,path_behavior,high_mfe_mae_asymmetry,no,0,full_sample,77,0.8051948051948052,0.2358974358974359,0.20902393886906534,0.0651117589893099,0.4285714285714286,-0.1666666666666667,0.4285714285714288,0.0865384615384614,0.55078125,0.20902393886906534,7.437937317167217,0.1762556568239365,0.2062780269058295,no
immediate_1h_confirmation,priority,path_behavior,high_mfe_mae_asymmetry,no,20,full_sample,77,0.8051948051948052,0.2338974358974359,0.20702393886906537,0.0631117589893099,0.4265714285714286,-0.16866666666666671,0.4265714285714288,0.0865384615384614,0.55078125,0.20702393886906537,7.3007285742759045,0.17425565682393648,0.2042780269058295,no
immediate_1h_confirmation,priority,path_behavior,high_mfe_mae_asymmetry,no,20,excluding_top5,67,0.7761194029850746,0.2042780269058295,0.17425565682393648,0.020002427489749102,0.4265714285714286,-0.16866666666666671,0.4265714285714286,0.1039922730199613,0.4471544715447153,0.17425565682393648,5.614675496918477,0.04236332159229291,0.09000521623296295,no
immediate_1h_confirmation,priority,path_behavior,high_mfe_mae_asymmetry,no,50,full_sample,77,0.8051948051948052,0.2308974358974359,0.2040239388690654,0.060111758989309906,0.4235714285714286,-0.17166666666666672,0.4235714285714288,0.0865384615384614,0.55078125,0.2040239388690654,7.100910016667201,0.1712556568239365,0.2012780269058295,no
immediate_1h_confirmation,priority,path_behavior,high_mfe_mae_asymmetry,no,100,full_sample,77,0.8051948051948052,0.22589743589743588,0.1990239388690654,0.0551117589893099,0.4185714285714286,-0.17666666666666672,0.4185714285714288,0.0865384615384614,0.55078125,0.1990239388690654,6.782959733176618,0.1662556568239365,0.1962780269058295,no
immediate_1h_confirmation,priority,path_behavior,early_lower_low_after_tag,no,0,full_sample,82,0.573170731707317,0.09200521623296296,0.10603019115539923,-0.1666666666666666,0.4285714285714286,-0.1666666666666667,0.4285714285714288,0.20229960112575668,0.4402347604530258,0.10603019115539923,2.4904815442416117,0.07116086819150415,0.0384429345101673,no
immediate_1h_confirmation,priority,path_behavior,early_lower_low_after_tag,no,20,full_sample,82,0.573170731707317,0.09000521623296295,0.10403019115539923,-0.1686666666666666,0.4265714285714286,-0.16866666666666671,0.4265714285714288,0.20229960112575668,0.4402347604530258,0.10403019115539923,2.4450269353036824,0.06916086819150415,0.0364429345101673,no
immediate_1h_confirmation,priority,path_behavior,early_lower_low_after_tag,no,20,excluding_top5,74,0.527027027027027,0.0364429345101673,0.06916086819150415,-0.1686666666666666,0.40356318681318687,-0.16866666666666671,0.4265714285714286,0.23553462321792246,0.3823756218905473,0.06916086819150415,1.8669515944954223,-0.05430823448519704,-0.1686666666666666,no
immediate_1h_confirmation,priority,path_behavior,early_lower_low_after_tag,no,50,full_sample,82,0.573170731707317,0.08700521623296295,0.10103019115539923,-0.1716666666666666,0.4235714285714286,-0.17166666666666672,0.4235714285714288,0.20229960112575668,0.4402347604530258,0.10103019115539923,2.3788309028698036,0.06616086819150416,0.033442934510167305,no
immediate_1h_confirmation,priority,path_behavior,early_lower_low_after_tag,no,100,full_sample,82,0.573170731707317,0.08200521623296295,0.09603019115539925,-0.1766666666666666,0.4185714285714286,-0.17666666666666672,0.4185714285714288,0.20229960112575668,0.4402347604530258,0.09603019115539925,2.2735001091228146,0.06116086819150414,0.0284429345101673,no
immediate_1h_confirmation,priority,volatility,high_post_tag_volatility,no,0,full_sample,37,0.4594594594594595,-0.1666666666666665,0.08834569729151873,-0.1666666666666666,0.4285714285714286,-0.1666666666666667,0.4285714285714288,0.3057324840764333,0.6468468468468467,0.08834569729151873,1.9806372399358583,0.04710621471213566,-0.1666666666666666,no
immediate_1h_confirmation,priority,volatility,high_post_tag_volatility,no,20,full_sample,37,0.4594594594594595,-0.1686666666666665,0.08634569729151871,-0.1686666666666666,0.4265714285714286,-0.16866666666666671,0.4265714285714288,0.3057324840764333,0.6468468468468467,0.08634569729151871,1.9470723714781206,0.04510621471213566,-0.1686666666666666,no
immediate_1h_confirmation,priority,volatility,high_post_tag_volatility,no,20,excluding_top5,33,0.3939393939393939,-0.1686666666666666,0.04510621471213566,-0.1686666666666666,0.4265714285714286,-0.16866666666666671,0.4265714285714286,0.3271889400921657,0.5761124121779857,0.04510621471213566,1.4412564482708925,-0.1456263922175108,-0.1686666666666666,no
immediate_1h_confirmation,priority,volatility,high_post_tag_volatility,no,50,full_sample,37,0.4594594594594595,-0.1716666666666665,0.08334569729151872,-0.1716666666666666,0.4235714285714286,-0.17166666666666672,0.4235714285714288,0.3057324840764333,0.6468468468468467,0.08334569729151872,1.8981914950833574,0.04210621471213566,-0.1716666666666666,no
immediate_1h_confirmation,priority,volatility,high_post_tag_volatility,no,100,full_sample,37,0.4594594594594595,-0.1766666666666665,0.0783456972915187,-0.1766666666666666,0.4185714285714286,-0.17666666666666672,0.4185714285714288,0.3057324840764333,0.6468468468468467,0.0783456972915187,1.8204124905055263,0.037106214712135654,-0.1766666666666666,no
immediate_1h_confirmation,priority,volatility,low_pre_then_expansion_proxy,no,0,full_sample,57,0.543859649122807,0.0731707317073173,0.11190720758742591,-0.1666666666666666,0.4285714285714286,-0.1666666666666667,0.4285714285714288,0.2449999999999998,0.5385878489326765,0.11190720758742591,2.472010192111526,0.0746525933540138,-0.1666666666666665,no
immediate_1h_confirmation,priority,volatility,low_pre_then_expansion_proxy,no,20,full_sample,57,0.543859649122807,0.0711707317073173,0.1099072075874259,-0.1686666666666666,0.4265714285714286,-0.16866666666666671,0.4265714285714288,0.2449999999999998,0.5385878489326765,0.1099072075874259,2.4285597824148555,0.07265259335401379,-0.1686666666666665,no
immediate_1h_confirmation,priority,volatility,low_pre_then_expansion_proxy,no,20,excluding_top5,51,0.49019607843137253,-0.1686666666666665,0.07265259335401379,-0.1686666666666666,0.4265714285714286,-0.16866666666666671,0.4265714285714286,0.2921108742004266,0.5062499999999999,0.07265259335401379,1.8449260248680541,-0.08913887417394724,-0.1686666666666666,no
immediate_1h_confirmation,priority,volatility,low_pre_then_expansion_proxy,no,50,full_sample,57,0.543859649122807,0.0681707317073173,0.1069072075874259,-0.1716666666666666,0.4235714285714286,-0.17166666666666672,0.4235714285714288,0.2449999999999998,0.5385878489326765,0.1069072075874259,2.3652824867400914,0.06965259335401382,-0.1716666666666665,no
immediate_1h_confirmation,priority,volatility,low_pre_then_expansion_proxy,no,100,full_sample,57,0.543859649122807,0.06317073170731731,0.1019072075874259,-0.1766666666666666,0.4185714285714286,-0.17666666666666672,0.4185714285714288,0.2449999999999998,0.5385878489326765,0.1019072075874259,2.26459597223874,0.06465259335401378,-0.1766666666666665,no
immediate_1h_confirmation,priority,volatility,avoid_extreme_initial_wick,no,0,full_sample,106,0.5849056603773585,0.0966052432332883,0.10140760489135037,-0.1666666666666666,0.4285714285714286,-0.1666666666666667,0.4285714285714288,0.1794622158681936,0.36458007303077733,0.10140760489135037,2.483773950986846,0.07470035397869089,0.0688937747282557,no
immediate_1h_confirmation,priority,volatility,avoid_extreme_initial_wick,no,20,full_sample,106,0.5849056603773585,0.0946052432332883,0.09940760489135035,-0.1686666666666666,0.4265714285714286,-0.16866666666666671,0.4265714285714288,0.1794622158681936,0.36458007303077733,0.09940760489135035,2.437054288218561,0.0727003539786909,0.0668937747282557,no
immediate_1h_confirmation,priority,volatility,avoid_extreme_initial_wick,no,20,excluding_top5,98,0.5510204081632653,0.0668937747282557,0.0727003539786909,-0.1686666666666666,0.2529903799903801,-0.16866666666666671,0.4265714285714286,0.2161390762843799,0.34465705033853394,0.0727003539786909,1.9716509972381744,-0.035820108896415355,-0.1686666666666666,no
immediate_1h_confirmation,priority,volatility,avoid_extreme_initial_wick,no,50,full_sample,106,0.5849056603773585,0.0916052432332883,0.09640760489135038,-0.1716666666666666,0.4235714285714286,-0.17166666666666672,0.4235714285714288,0.1794622158681936,0.36458007303077733,0.09640760489135038,2.3690402345827763,0.06970035397869087,0.0638937747282557,no
immediate_1h_confirmation,priority,volatility,avoid_extreme_initial_wick,no,100,full_sample,106,0.5849056603773585,0.0866052432332883,0.09140760489135034,-0.1766666666666666,0.4185714285714286,-0.17666666666666672,0.4185714285714288,0.1794622158681936,0.36458007303077733,0.09140760489135034,2.260875951433395,0.0647003539786909,0.0588937747282557,no
immediate_1h_confirmation,priority,scenario,scenario_monitoring_tag_only,no,0,full_sample,26,0.5769230769230769,0.0691412453483136,0.03590032231408226,-0.1666666666666666,0.20425407925407926,-0.1666666666666667,0.4285714285714286,0.09669734026488105,0.22193585337915228,0.03590032231408226,1.5091318437269852,0.007012437085677031,0.057528132546819155,no
immediate_1h_confirmation,priority,scenario,scenario_monitoring_tag_only,no,20,full_sample,26,0.5769230769230769,0.0671412453483136,0.03390032231408226,-0.1686666666666666,0.20225407925407926,-0.16866666666666671,0.4265714285714286,0.09669734026488105,0.22193585337915228,0.03390032231408226,1.475067398580384,0.0050124370856770295,0.05552813254681915,no
immediate_1h_confirmation,priority,scenario,scenario_monitoring_tag_only,no,20,excluding_top5,24,0.5416666666666666,0.05552813254681915,0.0050124370856770295,-0.1686666666666666,0.1387984217617245,-0.16866666666666671,0.2577402597402598,0.1482546297746999,0.22107318947301008,0.0050124370856770295,1.0648392867712446,-0.017099205019306913,-0.060361080281169044,no
immediate_1h_confirmation,priority,scenario,scenario_monitoring_tag_only,no,50,full_sample,26,0.5769230769230769,0.0641412453483136,0.030900322314082265,-0.1716666666666666,0.19925407925407926,-0.17166666666666672,0.4235714285714286,0.09669734026488105,0.22193585337915228,0.030900322314082265,1.4254589833183438,0.0020124370856770338,0.05252813254681915,no
immediate_1h_confirmation,priority,scenario,scenario_monitoring_tag_only,no,100,full_sample,26,0.5769230769230769,0.05914124534831361,0.02590032231408226,-0.1766666666666666,0.19425407925407925,-0.17666666666666672,0.4185714285714286,0.09669734026488105,0.22193585337915228,0.02590032231408226,1.3465223225554745,-0.002987562914322973,0.047528132546819146,no
immediate_1h_confirmation,priority,scenario,scenario_tag_followed_by_delisting,no,0,full_sample,82,0.5365853658536586,0.04980857669160385,0.10393100673408327,-0.1666666666666666,0.4285714285714286,-0.1666666666666667,0.4285714285714288,0.2161390762843799,0.4928344430992735,0.10393100673408327,2.3647749669674005,0.05884205925667417,-0.1666666666666665,no
immediate_1h_confirmation,priority,scenario,scenario_tag_followed_by_delisting,no,20,full_sample,82,0.5365853658536586,0.04780857669160385,0.10193100673408326,-0.1686666666666666,0.4265714285714286,-0.16866666666666671,0.4265714285714288,0.2161390762843799,0.4928344430992735,0.10193100673408326,2.3224171259900808,0.05684205925667417,-0.1686666666666665,no
