grouping,comparison_group,n_trades,win_rate,median_return,average_return,p25_return,p75_return,worst_trade,best_trade,avg_ex_top5,avg_ex_bottom5,profit_factor,median_mae,median_mfe,median_quote_volume_24h,median_return_1h,low_liquidity_rate,abnormal_gap_rate,extreme_wick_gap_rate,clustered_rate,funding_available_rate,oi_available_rate,feasibility_tier,primary_scenario,event_half,liquidity_bucket,funding_available,oi_available,low_liquidity_flag,abnormal_candle_gap,extreme_first_hour_wick_gap,event_clustered_with_another_risk_event
comparison_group+scenario,B_medium_feasibility_confirmed_shortable,3,1.0,0.2258974358974358,0.18711468633037262,0.16530165912518852,0.22831908831908831,0.1047058823529412,0.2307407407407408,,,,0.0149253731343284,0.2641509433962266,2310343.29046,-0.0077014218009479,0.0,0.0,0.0,0.0,1.0,0.6666666666666666,,IMMEDIATE_DUMP_AFTER_TAG,,,,,,,,
comparison_group+scenario,B_medium_feasibility_confirmed_shortable,4,0.75,0.1762859362859362,0.12561091686091685,0.06109557109557098,0.24080128205128204,-0.1766666666666666,0.3265384615384616,,,3.844020759115099,0.06196463111356715,0.22193585337915228,3048816.9032150004,-0.01324884792626725,0.0,0.0,0.0,0.0,1.0,1.0,,NO_CLEAR_REACTION,,,,,,,,
comparison_group+scenario,B_medium_feasibility_confirmed_shortable,2,0.5,-0.030833333333333206,-0.030833333333333206,-0.10374999999999991,0.0420833333333335,-0.1766666666666666,0.1150000000000002,,,0.6509433962264164,0.30272187524095917,0.22515527950310565,7841197.275214999,-0.02562422875946425,0.0,0.0,0.0,0.0,1.0,0.0,,SLOW_BLEED_AFTER_TAG,,,,,,,,
comparison_group+scenario,B_medium_feasibility_confirmed_shortable,3,0.6666666666666666,0.0992475067996374,0.11371742290146647,-0.03870957993351459,0.258909467685533,-0.1766666666666666,0.4185714285714286,,,2.9310505775720728,0.1324960753532182,0.3227027027027027,7462209.776,-0.0113636363636363,0.0,0.0,0.0,0.0,1.0,0.0,,TAG_REMOVED_AND_RECOVERED,,,,,,,,
comparison_group+scenario,B_medium_feasibility_confirmed_shortable,1,0.0,-0.1766666666666667,-0.1766666666666667,-0.1766666666666667,-0.1766666666666667,-0.1766666666666667,-0.1766666666666667,,,0.0,0.3333333333333332,0.5285126396237507,7294890.86434,-0.0853658536585366,0.0,0.0,0.0,1.0,1.0,0.0,,TAG_REMOVED_BUT_NOT_RECOVERED,,,,,,,,
comparison_group+scenario,B_medium_feasibility_confirmed_shortable,12,0.4166666666666667,-0.1766666666666665,0.07134920634920643,-0.1766666666666666,0.4185714285714286,-0.1766666666666667,0.4185714285714288,,,1.6923373122834051,0.20745558598413033,0.41783444309927353,5019093.621799501,-0.02078507078507075,0.0,0.0,0.0,0.08333333333333333,1.0,0.0,,TAG_TO_DELISTING_TO_COLLAPSE,,,,,,,,
comparison_group+scenario,B_medium_feasibility_confirmed_shortable,1,0.0,-0.1766666666666665,-0.1766666666666665,-0.1766666666666665,-0.1766666666666665,-0.1766666666666665,-0.1766666666666665,,,0.0,0.5398373983739839,0.5147783251231528,11111265.61446,-0.0786838340486409,0.0,0.0,0.0,0.0,1.0,0.0,,TEMPORARY_PANIC_THEN_RECOVERY,,,,,,,,
comparison_group+event_half,B_medium_feasibility_confirmed_shortable,4,0.75,0.25890946768553313,0.1899309243189571,0.030268963433061402,0.4185714285714288,-0.1766666666666666,0.4185714285714288,,,5.300322814768842,0.0377374640759282,0.49427457969780797,20271691.07781,-0.00905766214280835,0.0,0.0,0.0,0.0,1.0,0.0,,,2024H1,,,,,,,
comparison_group+event_half,B_medium_feasibility_confirmed_shortable,3,0.3333333333333333,-0.1766666666666665,0.02174603174603183,-0.17666666666666656,0.12095238095238103,-0.1766666666666666,0.4185714285714286,,,1.1846361185983836,0.2021452145214521,0.3046286329386438,5332354.671599,-0.0275080906148866,0.0,0.0,0.0,0.0,1.0,0.0,,,2024H2,,,,,,,
comparison_group+event_half,B_medium_feasibility_confirmed_shortable,11,0.36363636363636365,-0.1766666666666666,0.03978354978354984,-0.1766666666666666,0.4185714285714286,-0.1766666666666667,0.4185714285714288,,,1.3538698498267236,0.3642819101721994,0.5147783251231528,5775292.45763,-0.0274809160305343,0.0,0.0,0.0,0.0,1.0,0.0,,,2025H1,,,,,,,
